ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
L33_F5,L33,F5,14.8,9.2,26.9,25.1,96.72131148,97.05882353,0.5054,0.197,0.1637,0.1151,32.7,36.2
L33_F5,L33,F5,12.9,8.3,38.2,10.6,97.72727273,71.15384615,0.4944,0.1682,0.146,0.0819,NA,NA
L33_F5,L33,F5,12.2,8,31.8,23.5,93.44262295,84.7826087,0.4637,0.2299,0.1543,0.1386,NA,NA
L34_F4,L34,F4,12.9,8.4,23.6,10.2,90.90909091,28.66666667,0.5469,0.1767,0.1792,0.1157,NA,NA
L34_F4,L34,F4,14.5,10.1,28,NA,98.14814815,NA,0.6686,0.2778,0.2208,0.1792,NA,NA
L34_F4,L34,F4,13.4,10,28.5,NA,96.82539683,NA,0.4248,0.1753,0.1657,0.0928,NA,NA
L34_F4,L34,F4,12.3,9.9,34.5,NA,102.5641026,NA,0.6125,0.2758,0.2923,0.1087,NA,NA
L35_F4,L35,F4,17.8,11.9,30.1,21.4,103.3333333,16.88311688,0.4029,0.1517,0.1674,0.0709,27.4,34.8
L35_F4,L35,F4,13.8,10.5,33.6,23.2,111.1111111,72.34042553,0.5516,0.2233,0.2072,0.0955,25.8,33.3
L35_F4,L35,F4,13.5,6.6,29.5,20.4,98.4375,81.33333333,0.6513,0.2161,0.2358,0.1526,NA,NA
L35_F4,L35,F4,20.3,8.6,24.7,22,100,91.66666667,0.4413,0.1526,0.5112,0.1082,NA,NA
L37_F5,L37,F5,13.5,6.2,26.5,26.8,93.10344828,21.05263158,0.5293,0.1969,0.2634,0.0886,NA,NA
L37_F5,L37,F5,11.9,9.5,26.1,NA,98.13084112,NA,0.4488,0.2538,0.2351,0.1173,NA,NA
L37_F5,L37,F5,11.5,8.5,27.6,NA,96.45390071,16.12903226,0.3924,0.1481,0.32,0.0744,NA,NA
L37_F5,L37,F5,12.8,8.2,27.5,20.7,91.37931034,66.66666667,0.3315,0.2224,0.1451,0.1157,NA,NA
